productEan|level1|level2|level3|level4|level5
3300000000001|Food|Fresh|Fruits & Vegetables|Local|Organic
3300000000002|Food|Fresh|Fruits & Vegetables|Local|Organic
3300000000003|Food|Fresh|Bakery|Traditional|Baguettes
3300000000004|Food|Pantry|Beverages|Hot|Coffee
3300000000005|Food|Pantry|Groceries|Pasta|Italy
3300000000006|Food|Pantry|Oils & Vinegars|Olive|Extra Virgin
3300000000007|Food|Pantry|Beverages|Cold|Water
3300000000008|Food|Fresh|Deli|Meats|Hams
3300000000009|Food|Fresh|Dairy|Butter|Spreadable
3300000000010|Food|Fresh|Dairy|Yogurts|Fruit
3300000000011|Food|Pantry|Beverages|Sodas|Cola
3300000000012|Food|Pantry|Beverages|Sodas|Orange Juice
3300000000013|Food|Pantry|Snacks|Biscuits|Chocolate
3300000000014|Food|Pantry|Snacks|Crisps|Classic
3300000000015|Food|Pantry|Sauces|Tomato|Bolognaise
3300000000016|Food|Pantry|Groceries|Potatoes|Flakes
3300000000017|Food|Fresh|Fruits & Vegetables|Vegetables|Cucumber
3300000000018|Food|Fresh|Fruits & Vegetables|Vegetables|Tomatoes
3300000000019|Food|Fresh|Dairy|Eggs|Farm
3300000000020|Food|Fresh|Meat|Poultry|Roasted
3300000000021|Food|Fresh|Seafood|Fish|Smoked
3300000000022|Food|Pantry|Groceries|Rice|Long Grain
3300000000023|Food|Pantry|Groceries|Legumes|Green
3300000000024|Food|Pantry|Groceries|Honey|Acacia
3300000000025|Household|Cleaning|Liquids|Detergent|
3300000000026|Household|Cleaning|Sponges|Kitchen|
3300000000027|Health & Beauty|Hair|Accessories|Cotton|Pads
3300000000028|Electronics|Small Appliances|Batteries|AA|
3300000000029|Food|Pantry|Confectionery|Gum|Mint
3300000000030|Health & Beauty|Toothpaste|Oral Care|Mint|
